Age,male,female,male(not Thai),female(not Thai),Times,total (Thai),total (not Thai),total
78,108486,145782,1456,913,2019-12-31,254268,2369,256637
79,93365,128527,1452,991,2019-12-31,221892,2443,224335
80,93028,128354,1317,843,2019-12-31,221382,2160,223542
81,86661,121656,1214,986,2019-12-31,208317,2200,210517
82,75484,109981,1113,783,2019-12-31,185465,1896,187361
83,68011,99772,960,773,2019-12-31,167783,1733,169516
84,60438,90590,1041,850,2019-12-31,151028,1891,152919
85,52798,78545,915,626,2019-12-31,131343,1541,132884
86,46403,71592,838,622,2019-12-31,117995,1460,119455
87,40932,62917,818,543,2019-12-31,103849,1361,105210
88,32902,52835,842,516,2019-12-31,85737,1358,87095
89,27431,44420,854,525,2019-12-31,71851,1379,73230
90,23058,37339,870,500,2019-12-31,60397,1370,61767
91,19362,31112,898,498,2019-12-31,50474,1396,51870
92,15999,25881,825,463,2019-12-31,41880,1288,43168
93,12089,19373,621,447,2019-12-31,31462,1068,32530
94,10014,15606,559,373,2019-12-31,25620,932,26552
95,7422,11096,536,345,2019-12-31,18518,881,19399
96,6551,8953,515,390,2019-12-31,15504,905,16409
97,5412,7215,504,338,2019-12-31,12627,842,13469
98,4816,6045,499,368,2019-12-31,10861,867,11728
99,4217,5194,481,319,2019-12-31,9411,800,10211
100,2931,3538,444,273,2019-12-31,6469,717,7186
101,7569,9253,1761,942,2019-12-31,16822,2703,19525
0,295651,279430,7273,6897,2020-05-31,575081,14170,589251
1,319473,301442,11927,11276,2020-05-31,620915,23203,644118
2,334016,314131,22999,21791,2020-05-31,648147,44790,692937
3,340047,321041,21279,19750,2020-05-31,661088,41029,702117
4,352154,334793,25025,23501,2020-05-31,686947,48526,735473
5,366157,346270,24417,23020,2020-05-31,712427,47437,759864
6,376082,355209,23578,22405,2020-05-31,731291,45983,777274
7,407100,384119,19774,18380,2020-05-31,791219,38154,829373
8,411904,388558,13922,12835,2020-05-31,800462,26757,827219
9,387011,366858,9824,9298,2020-05-31,753869,19122,772991
10,396647,374833,6683,6140,2020-05-31,771480,12823,784303
11,401858,379479,5309,4896,2020-05-31,781337,10205,791542
12,405423,383483,4145,3820,2020-05-31,788906,7965,796871
13,412293,389098,3996,3700,2020-05-31,801391,7696,809087
14,409587,387306,4164,3858,2020-05-31,796893,8022,804915
15,416736,396136,4929,4796,2020-05-31,812872,9725,822597
16,410130,389266,6290,6016,2020-05-31,799396,12306,811702
17,403936,383723,5961,5662,2020-05-31,787659,11623,799282
18,405507,386151,6101,5688,2020-05-31,791658,11789,803447
19,419901,401017,6241,5998,2020-05-31,820918,12239,833157
20,431899,411506,6297,6031,2020-05-31,843405,12328,855733
21,433615,414750,6533,6131,2020-05-31,848365,12664,861029
22,487459,467405,6313,5895,2020-05-31,954864,12208,967072
23,503614,483036,6466,5792,2020-05-31,986650,12258,998908
24,496860,477045,5463,5248,2020-05-31,973905,10711,984616
25,490351,470601,5288,5106,2020-05-31,960952,10394,971346
26,480210,464661,5366,5202,2020-05-31,944871,10568,955439
27,483166,466536,5442,5288,2020-05-31,949702,10730,960432
28,491562,476518,4838,4835,2020-05-31,968080,9673,977753
29,483761,468793,4898,5019,2020-05-31,952554,9917,962471
30,466981,455210,4328,4699,2020-05-31,922191,9027,931218
31,459272,447753,4627,5054,2020-05-31,907025,9681,916706
32,436743,428783,4475,4817,2020-05-31,865526,9292,874818
33,453243,447545,5036,5537,2020-05-31,900788,10573,911361
34,472062,466450,4543,5177,2020-05-31,938512,9720,948232
35,482671,479578,4640,5176,2020-05-31,962249,9816,972065
36,479900,477695,4923,5735,2020-05-31,957595,10658,968253
37,500996,501967,5140,5826,2020-05-31,1002963,10966,1013929
38,513342,515174,5404,6051,2020-05-31,1028516,11455,1039971
39,510471,513898,5700,6354,2020-05-31,1024369,12054,1036423
40,514460,521090,5103,5522,2020-05-31,1035550,10625,1046175
41,506101,513895,5973,6387,2020-05-31,1019996,12360,1032356
42,500239,513732,5003,5018,2020-05-31,1013971,10021,1023992
43,526264,544262,5378,5649,2020-05-31,1070526,11027,1081553
44,498751,517936,4943,4863,2020-05-31,1016687,9806,1026493
45,511206,535867,4679,4716,2020-05-31,1047073,9395,1056468
46,504197,530794,5453,5246,2020-05-31,1034991,10699,1045690
47,495480,529749,4930,4639,2020-05-31,1025229,9569,1034798
48,510106,546434,4822,4427,2020-05-31,1056540,9249,1065789
49,521157,562986,4946,4742,2020-05-31,1084143,9688,1093831
50,493690,536713,4041,3740,2020-05-31,1030403,7781,1038184
51,497123,547657,5110,4659,2020-05-31,1044780,9769,1054549
52,504312,552395,3993,3307,2020-05-31,1056707,7300,1064007
53,465310,514879,4045,3559,2020-05-31,980189,7604,987793
54,481155,537737,3927,3203,2020-05-31,1018892,7130,1026022
55,471727,531698,3645,2916,2020-05-31,1003425,6561,1009986
56,448768,504399,4137,3369,2020-05-31,953167,7506,960673
57,431744,483635,3750,2870,2020-05-31,915379,6620,921999
58,424393,477026,3398,2522,2020-05-31,901419,5920,907339
59,396146,450910,3779,2911,2020-05-31,847056,6690,853746
60,398218,458586,3237,2177,2020-05-31,856804,5414,862218
61,365824,423134,3647,2832,2020-05-31,788958,6479,795437
62,337007,393584,3223,2183,2020-05-31,730591,5406,735997
63,317752,371917,3376,2366,2020-05-31,689669,5742,695411
64,306395,360254,3113,1961,2020-05-31,666649,5074,671723
65,296861,356119,2876,1736,2020-05-31,652980,4612,657592
66,269168,323802,3055,1895,2020-05-31,592970,4950,597920
67,261717,316240,2892,1548,2020-05-31,577957,4440,582397
68,245480,298019,2557,1357,2020-05-31,543499,3914,547413
69,228082,280678,2769,1520,2020-05-31,508760,4289,513049
70,218937,271756,2419,1128,2020-05-31,490693,3547,494240
71,196388,243384,2576,1324,2020-05-31,439772,3900,443672
72,173139,215812,2193,995,2020-05-31,388951,3188,392139
73,159318,201593,2143,1054,2020-05-31,360911,3197,364108
74,137928,177046,1936,971,2020-05-31,314974,2907,317881
75,127862,164084,1830,876,2020-05-31,291946,2706,294652
76,122463,157355,1913,1001,2020-05-31,279818,2914,282732
77,108761,144527,1622,928,2020-05-31,253288,2550,255838
78,110278,148256,1453,893,2020-05-31,258534,2346,260880
79,96885,131940,1426,983,2020-05-31,228825,2409,231234
80,88114,123792,1319,806,2020-05-31,211906,2125,214031
81,86703,120978,1253,982,2020-05-31,207681,2235,209916
82,76615,111525,1119,806,2020-05-31,188140,1925,190065
83,67093,98639,1002,763,2020-05-31,165732,1765,167497
84,61805,92429,1012,827,2020-05-31,154234,1839,156073
85,51788,77413,903,618,2020-05-31,129201,1521,130722
86,46901,71415,854,624,2020-05-31,118316,1478,119794
87,39522,61548,791,533,2020-05-31,101070,1324,102394
88,34199,53399,825,516,2020-05-31,87598,1341,88939
89,26864,44113,838,506,2020-05-31,70977,1344,72321
90,23238,37121,859,495,2020-05-31,60359,1354,61713
91,18578,29905,830,476,2020-05-31,48483,1306,49789
92,16492,26427,796,444,2020-05-31,42919,1240,44159
93,11780,18888,646,439,2020-05-31,30668,1085,31753
94,10251,15724,543,361,2020-05-31,25975,904,26879
95,7411,10908,531,334,2020-05-31,18319,865,19184
96,6325,8696,487,358,2020-05-31,15021,845,15866
97,5464,7093,493,337,2020-05-31,12557,830,13387
98,4621,5715,499,351,2020-05-31,10336,850,11186
99,4364,5307,463,315,2020-05-31,9671,778,10449
100,3278,3723,450,263,2020-05-31,7001,713,7714
101,7790,9273,1771,926,2020-05-31,17063,2697,19760
0,290329,273319,7011,6474,2020-12-31,563648,13485,577133
1,305576,289390,9715,9183,2020-12-31,594966,18898,613864
2,322621,304290,18164,17241,2020-12-31,626911,35405,662316
3,339604,319703,22551,21068,2020-12-31,659307,43619,702926
4,342143,323641,22876,21360,2020-12-31,665784,44236,710020
5,354468,336729,24885,23479,2020-12-31,691197,48364,739561
6,376192,355386,24854,23430,2020-12-31,731578,48284,779862
7,384574,362764,22143,20955,2020-12-31,747338,43098,790436
8,411199,388800,17938,16479,2020-12-31,799999,34417,834416
9,402766,380322,12455,11759,2020-12-31,783088,24214,807302
10,388443,367931,7616,7272,2020-12-31,756374,14888,771262
11,400250,377718,5277,4734,2020-12-31,777968,10011,787979
12,402695,380404,4031,3784,2020-12-31,783099,7815,790914
13,411337,389088,3353,3139,2020-12-31,800425,6492,806917
14,407891,385146,3466,3202,2020-12-31,793037,6668,799705
15,411920,391083,3694,3567,2020-12-31,803003,7261,810264
16,416544,395789,4944,4795,2020-12-31,812333,9739,822072
17,404872,384172,5427,5127,2020-12-31,789044,10554,799598
18,406144,386357,5791,5538,2020-12-31,792501,11329,803830
19,407389,388001,6249,5894,2020-12-31,795390,12143,807533
20,428147,410131,6403,6160,2020-12-31,838278,12563,850841
21,427979,408007,6374,6083,2020-12-31,835986,12457,848443
22,455722,437136,6252,5817,2020-12-31,892858,12069,904927
23,493590,473009,6381,5866,2020-12-31,966599,12247,978846
24,503851,483198,6017,5555,2020-12-31,987049,11572,998621
25,497159,479310,5464,5249,2020-12-31,976469,10713,987182
26,480849,462358,5301,5088,2020-12-31,943207,10389,953596
27,482752,467068,5374,5259,2020-12-31,949820,10633,960453
28,489730,474825,5377,5302,2020-12-31,964555,10679,975234
29,486694,471467,4813,4819,2020-12-31,958161,9632,967793
30,478899,466664,4848,5077,2020-12-31,945563,9925,955488
31,459206,447472,4452,4862,2020-12-31,906678,9314,915992
32,448489,438365,4512,4940,2020-12-31,886854,9452,896306
33,444326,438927,4855,5164,2020-12-31,883253,10019,893272
34,458921,453995,4927,5519,2020-12-31,912916,10446,923362
35,475918,472130,4619,5289,2020-12-31,948048,9908,957956
36,477559,475914,4841,5446,2020-12-31,953473,10287,963760
37,487733,488912,4999,5679,2020-12-31,976645,10678,987323
38,503912,507036,5323,6050,2020-12-31,1010948,11373,1022321
39,503601,507317,5425,6167,2020-12-31,1010918,11592,1022510
40,513381,518186,5642,6170,2020-12-31,1031567,11812,1043379
41,512732,521111,5444,5824,2020-12-31,1033843,11268,1045111
42,493815,506302,5676,5989,2020-12-31,1000117,11665,1011782
43,516789,532768,5216,5304,2020-12-31,1049557,10520,1060077
44,508369,528665,5244,5350,2020-12-31,1037034,10594,1047628
45,497171,519788,4991,4898,2020-12-31,1016959,9889,1026848
46,503821,531045,4911,4868,2020-12-31,1034866,9779,1044645
47,490918,521513,5316,5086,2020-12-31,1012431,10402,1022833
48,503310,540394,4970,4629,2020-12-31,1043704,9599,1053303
49,507724,550867,4859,4487,2020-12-31,1058591,9346,1067937
50,496276,538300,4853,4501,2020-12-31,1034576,9354,1043930
51,485085,532839,4212,3910,2020-12-31,1017924,8122,1026046
52,499595,551906,4940,4421,2020-12-31,1051501,9361,1060862
53,476354,525832,4133,3360,2020-12-31,1002186,7493,1009679
54,461706,517429,4010,3469,2020-12-31,979135,7479,986614
55,466136,523165,4003,3149,2020-12-31,989301,7152,996453
56,459961,522312,3771,2999,2020-12-31,982273,6770,989043
57,431347,486427,4037,3270,2020-12-31,917774,7307,925081
58,419258,472700,3807,2860,2020-12-31,891958,6667,898625
59,397764,451877,3433,2488,2020-12-31,849641,5921,855562
60,392017,453732,3769,2827,2020-12-31,845749,6596,852345
61,373487,432356,3353,2313,2020-12-31,805843,5666,811509
62,339233,398604,3586,2650,2020-12-31,737837,6236,744073
63,324986,383462,3365,2217,2020-12-31,708448,5582,714030
64,298497,349897,3277,2273,2020-12-31,648394,5550,653944
65,275249,327416,3133,1857,2020-12-31,602665,4990,607655
66,277588,336920,2850,1768,2020-12-31,614508,4618,619126
67,254822,311216,3048,1801,2020-12-31,566038,4849,570887
68,248393,302794,2874,1500,2020-12-31,551187,4374,555561
69,230645,284019,2562,1307,2020-12-31,514664,3869,518533
70,216345,269798,2747,1481,2020-12-31,486143,4228,490371
71,206452,260498,2405,1115,2020-12-31,466950,3520,470470
72,181909,228460,2463,1218,2020-12-31,410369,3681,414050
73,162330,205625,2172,996,2020-12-31,367955,3168,371123
74,145677,187620,1994,974,2020-12-31,333297,2968,336265
75,127639,166850,1803,911,2020-12-31,294489,2714,297203
76,120569,156817,1787,875,2020-12-31,277386,2662,280048
77,109703,146264,1726,901,2020-12-31,255967,2627,258594
78,102183,138571,1470,893,2020-12-31,240754,2363,243117
79,98846,136927,1371,854,2020-12-31,235773,2225,237998
80,83824,119710,1345,926,2020-12-31,203534,2271,205805
81,83098,119037,1192,775,2020-12-31,202135,1967,204102
82,76695,112212,1102,934,2020-12-31,188907,2036,190943
83,66208,100655,963,717,2020-12-31,166863,1680,168543
84,59038,90633,846,713,2020-12-31,149671,1559,151230
85,51513,81734,904,769,2020-12-31,133247,1673,134920
86,44521,70200,794,560,2020-12-31,114721,1354,116075
87,38627,63357,725,556,2020-12-31,101984,1281,103265
88,33501,55048,696,474,2020-12-31,88549,1170,89719
89,26637,45415,719,466,2020-12-31,72052,1185,73237
90,21854,37741,710,470,2020-12-31,59595,1180,60775
91,17975,31278,706,440,2020-12-31,49253,1146,50399
92,14833,25579,726,431,2020-12-31,40412,1157,41569
93,12170,21089,662,385,2020-12-31,33259,1047,34306
94,8912,15458,485,379,2020-12-31,24370,864,25234
95,7099,12033,452,317,2020-12-31,19132,769,19901
96,5202,8360,428,276,2020-12-31,13562,704,14266
97,4510,6531,399,306,2020-12-31,11041,705,11746
98,3575,5125,388,271,2020-12-31,8700,659,9359
99,3141,4258,396,283,2020-12-31,7399,679,8078
100,2810,3619,359,257,2020-12-31,6429,616,7045
101,8468,10166,2004,1041,2020-12-31,18634,3045,21679
0,276534,260784,6562,6051,2021-05-31,537318,12613,549931
1,298927,282676,8629,8087,2021-05-31,581603,16716,598319
2,319484,301522,12896,12220,2021-05-31,621006,25116,646122
3,334041,314224,23819,22506,2021-05-31,648265,46325,694590
4,340102,321136,21415,19909,2021-05-31,661238,41324,702562
5,352216,334877,25057,23507,2021-05-31,687093,48564,735657
6,366248,346366,24534,23182,2021-05-31,712614,47716,760330
7,376184,355317,23740,22580,2021-05-31,731501,46320,777821
8,407163,384239,19929,18523,2021-05-31,791402,38452,829854
9,411998,388696,14119,13055,2021-05-31,800694,27174,827868
10,387056,366929,8991,8573,2021-05-31,753985,17564,771549
11,396473,374709,5948,5476,2021-05-31,771182,11424,782606
12,401575,379306,4624,4242,2021-05-31,780881,8866,789747
13,405025,383262,3527,3344,2021-05-31,788287,6871,795158
14,411749,388832,3505,3282,2021-05-31,800581,6787,807368
15,409000,387006,3688,3472,2021-05-31,796006,7160,803166
16,416010,395728,4406,4266,2021-05-31,811738,8672,820410
17,409310,388836,5465,5298,2021-05-31,798146,10763,808909
18,403191,383482,5690,5386,2021-05-31,786673,11076,797749
19,404938,386050,6293,5864,2021-05-31,790988,12157,803145
20,419269,400874,6406,6188,2021-05-31,820143,12594,832737
21,431199,411385,6427,6102,2021-05-31,842584,12529,855113
22,432933,414587,6548,6151,2021-05-31,847520,12699,860219
23,486599,467142,6299,5881,2021-05-31,953741,12180,965921
24,502683,482741,6450,5795,2021-05-31,985424,12245,997669
25,495883,476769,5500,5248,2021-05-31,972652,10748,983400
26,489375,470347,5323,5176,2021-05-31,959722,10499,970221
27,479231,464383,5385,5272,2021-05-31,943614,10657,954271
28,482083,466200,5519,5374,2021-05-31,948283,10893,959176
29,490417,476102,4940,4969,2021-05-31,966519,9909,976428
30,482292,468210,5029,5157,2021-05-31,950502,10186,960688
31,465578,454701,4470,4891,2021-05-31,920279,9361,929640
32,457769,447233,4742,5194,2021-05-31,905002,9936,914938
33,435040,428205,4642,4920,2021-05-31,863245,9562,872807
34,451211,446808,5179,5679,2021-05-31,898019,10858,908877
35,469314,465216,4701,5342,2021-05-31,934530,10043,944573
36,478783,477431,4783,5319,2021-05-31,956214,10102,966316
37,475819,475380,5049,5844,2021-05-31,951199,10893,962092
38,496861,499542,5294,5937,2021-05-31,996403,11231,1007634
39,508985,512615,5540,6211,2021-05-31,1021600,11751,1033351
40,506485,511815,5824,6481,2021-05-31,1018300,12305,1030605
41,510187,518804,5238,5630,2021-05-31,1028991,10868,1039859
42,501642,511454,6025,6454,2021-05-31,1013096,12479,1025575
43,495481,510972,5084,5124,2021-05-31,1006453,10208,1016661
44,520642,541017,5459,5716,2021-05-31,1061659,11175,1072834
45,492721,514393,5047,4919,2021-05-31,1007114,9966,1017080
46,504334,531798,4782,4775,2021-05-31,1036132,9557,1045689
47,497065,526255,5526,5269,2021-05-31,1023320,10795,1034115
48,487766,524881,5018,4673,2021-05-31,1012647,9691,1022338
49,501842,540851,4880,4462,2021-05-31,1042693,9342,1052035
50,512027,556781,5002,4768,2021-05-31,1068808,9770,1078578
51,484475,530310,4102,3780,2021-05-31,1014785,7882,1022667
52,487516,540855,5174,4680,2021-05-31,1028371,9854,1038225
53,493986,545041,4074,3309,2021-05-31,1039027,7383,1046410
54,455327,507688,4123,3570,2021-05-31,963015,7693,970708
55,470577,529873,3990,3209,2021-05-31,1000450,7199,1007649
56,460701,523699,3710,2931,2021-05-31,984400,6641,991041
57,437754,496353,4202,3365,2021-05-31,934107,7567,941674
58,420903,475892,3846,2865,2021-05-31,896795,6711,903506
59,413387,469014,3455,2537,2021-05-31,882401,5992,888393
60,385079,443143,3843,2907,2021-05-31,828222,6750,834972
61,386570,450207,3307,2182,2021-05-31,836777,5489,842266
62,354511,415072,3676,2816,2021-05-31,769583,6492,776075
63,326107,385616,3298,2164,2021-05-31,711723,5462,717185
64,307564,364402,3412,2352,2021-05-31,671966,5764,677730
65,295356,351677,3162,1918,2021-05-31,647033,5080,652113
66,285500,347210,2934,1698,2021-05-31,632710,4632,637342
67,258151,315176,3085,1846,2021-05-31,573327,4931,578258
68,250776,307315,2917,1502,2021-05-31,558091,4419,562510
69,234813,289388,2585,1319,2021-05-31,524201,3904,528105
70,217585,271868,2771,1495,2021-05-31,489453,4266,493719
71,208273,262650,2392,1092,2021-05-31,470923,3484,474407
72,186115,234581,2537,1285,2021-05-31,420696,3822,424518
73,163340,207506,2189,959,2021-05-31,370846,3148,373994
74,149524,193079,2102,1010,2021-05-31,342603,3112,345715
75,128964,168938,1876,936,2021-05-31,297902,2812,300714
76,118928,156216,1771,838,2021-05-31,275144,2609,277753
77,113073,149168,1826,938,2021-05-31,262241,2764,265005
78,99727,136315,1530,882,2021-05-31,236042,2412,238454
79,100201,139171,1368,836,2021-05-31,239372,2204,241576
80,87302,122989,1335,923,2021-05-31,210291,2258,212549
81,78397,114645,1187,737,2021-05-31,193042,1924,194966
82,76915,111540,1134,926,2021-05-31,188455,2060,190515
83,67214,102018,978,740,2021-05-31,169232,1718,170950
84,58162,89482,869,702,2021-05-31,147644,1571,149215
85,52664,83203,876,748,2021-05-31,135867,1624,137491
86,43683,69075,792,547,2021-05-31,112758,1339,114097
87,38935,63000,723,553,2021-05-31,101935,1276,103211
88,32282,53730,673,462,2021-05-31,86012,1135,87147
89,27605,45948,692,460,2021-05-31,73553,1152,74705
90,21308,37291,698,449,2021-05-31,58599,1147,59746
91,18181,31061,687,432,2021-05-31,49242,1119,50361
92,14167,24587,671,399,2021-05-31,38754,1070,39824
93,12436,21371,648,378,2021-05-31,33807,1026,34833
94,8681,14998,504,366,2021-05-31,23679,870,24549
95,7276,12020,433,302,2021-05-31,19296,735,20031
96,5200,8208,416,271,2021-05-31,13408,687,14095
97,4318,6326,378,284,2021-05-31,10644,662,11306
98,3626,5002,381,270,2021-05-31,8628,651,9279
99,3022,3982,406,275,2021-05-31,7004,681,7685
100,2888,3675,343,246,2021-05-31,6563,589,7152
101,8804,10227,2008,1025,2021-05-31,19031,3033,22064
0,270624,255189,6263,5722,2021-12-31,525813,11985,537798
1,292630,275446,7367,6803,2021-12-31,568076,14170,582246
2,305669,289534,9681,9165,2021-12-31,595203,18846,614049
3,322652,304417,18133,17196,2021-12-31,627069,35329,662398
4,339633,319787,22524,21045,2021-12-31,659420,43569,702989
5,342195,323737,22832,21332,2021-12-31,665932,44164,710096
6,354535,336823,24861,23449,2021-12-31,691358,48310,739668
7,376288,355484,24822,23405,2021-12-31,731772,48227,779999
8,384643,362853,22130,20937,2021-12-31,747496,43067,790563
9,411248,388880,17922,16482,2021-12-31,800128,34404,834532
10,402780,380338,10470,9815,2021-12-31,783118,20285,803403
11,388463,367995,7314,6993,2021-12-31,756458,14307,770765
12,400256,377750,5367,4812,2021-12-31,778006,10179,788185
13,402657,380447,4114,3895,2021-12-31,783104,8009,791113
14,411176,389089,3462,3296,2021-12-31,800265,6758,807023
15,407651,385136,3609,3338,2021-12-31,792787,6947,799734
16,411549,391004,3859,3700,2021-12-31,802553,7559,810112
17,416130,395754,5065,4881,2021-12-31,811884,9946,821830
18,404478,384101,5594,5275,2021-12-31,788579,10869,799448
19,405678,386304,5941,5643,2021-12-31,791982,11584,803566
20,406926,387886,6420,6064,2021-12-31,794812,12484,807296
21,427651,410035,6506,6223,2021-12-31,837686,12729,850415
22,427430,407925,6453,6138,2021-12-31,835355,12591,847946
23,455019,437015,6308,5860,2021-12-31,892034,12168,904202
24,492791,472834,6449,5941,2021-12-31,965625,12390,978015
25,503020,483014,6074,5641,2021-12-31,986034,11715,997749
26,496243,479121,5522,5328,2021-12-31,975364,10850,986214
27,479936,462134,5354,5194,2021-12-31,942070,10548,952618
28,481826,466798,5421,5383,2021-12-31,948624,10804,959428
29,488680,474521,5445,5452,2021-12-31,963201,10897,974098
30,485506,471105,4938,4997,2021-12-31,956611,9935,966546
31,477659,466327,5003,5194,2021-12-31,943986,10197,954183
32,457930,447088,4572,5020,2021-12-31,905018,9592,914610
33,447175,437987,4642,5092,2021-12-31,885162,9734,894896
34,442878,438528,4990,5277,2021-12-31,881406,10267,891673
35,457428,453479,5083,5639,2021-12-31,910907,10722,921629
36,474245,471561,4774,5428,2021-12-31,945806,10202,956008
37,475778,475287,4943,5574,2021-12-31,951065,10517,961582
38,485745,488154,5141,5818,2021-12-31,973899,10959,984858
39,501793,506239,5426,6172,2021-12-31,1008032,11598,1019630
40,501224,506446,5583,6290,2021-12-31,1007670,11873,1019543
41,510820,517232,5760,6282,2021-12-31,1028052,12042,1040094
42,509807,520073,5521,5914,2021-12-31,1029880,11435,1041315
43,490955,505110,5764,6079,2021-12-31,996065,11843,1007908
44,513380,531483,5301,5368,2021-12-31,1044863,10669,1055532
45,504801,527269,5332,5408,2021-12-31,1032070,10740,1042810
46,493509,518278,5069,4949,2021-12-31,1011787,10018,1021805
47,499860,529441,5000,4912,2021-12-31,1029301,9912,1039213
48,486888,519856,5375,5120,2021-12-31,1006744,10495,1017239
49,499004,538483,5031,4673,2021-12-31,1037487,9704,1047191
50,503150,548776,4902,4519,2021-12-31,1051926,9421,1061347
51,491711,536161,4914,4542,2021-12-31,1027872,9456,1037328
52,480237,530411,4278,3948,2021-12-31,1010648,8226,1018874
53,494213,549268,5023,4431,2021-12-31,1043481,9454,1052935
54,471159,523322,4206,3385,2021-12-31,994481,7591,1002072
55,456320,514644,4088,3478,2021-12-31,970964,7566,978530
56,460394,520134,4079,3167,2021-12-31,980528,7246,987774
57,453944,519090,3846,3027,2021-12-31,973034,6873,979907
58,425307,483204,4115,3279,2021-12-31,908511,7394,915905
59,413203,469500,3876,2883,2021-12-31,882703,6759,889462
60,391709,448484,3512,2504,2021-12-31,840193,6016,846209
61,385437,449929,3842,2833,2021-12-31,835366,6675,842041
62,366766,428529,3430,2323,2021-12-31,795295,5753,801048
63,332781,394834,3663,2643,2021-12-31,727615,6306,733921
64,318474,379511,3464,2220,2021-12-31,697985,5684,703669
65,292265,345999,3384,2258,2021-12-31,638264,5642,643906
66,269091,323398,3219,1849,2021-12-31,592489,5068,597557
67,270856,332357,2934,1756,2021-12-31,603213,4690,607903
68,248249,306468,3123,1775,2021-12-31,554717,4898,559615
69,241411,297798,2937,1494,2021-12-31,539209,4431,543640
70,223688,278844,2628,1290,2021-12-31,502532,3918,506450
71,209350,264503,2754,1474,2021-12-31,473853,4228,478081
72,199209,254857,2420,1109,2021-12-31,454066,3529,457595
73,175113,222983,2476,1199,2021-12-31,398096,3675,401771
74,155603,200264,2181,976,2021-12-31,355867,3157,359024
75,139224,182256,1997,956,2021-12-31,321480,2953,324433
76,121522,161468,1797,888,2021-12-31,282990,2685,285675
77,114251,151332,1767,859,2021-12-31,265583,2626,268209
78,103592,140669,1670,875,2021-12-31,244261,2545,246806
79,96013,132500,1415,858,2021-12-31,228513,2273,230786
80,92375,130480,1320,824,2021-12-31,222855,2144,224999
81,77750,113449,1297,881,2021-12-31,191199,2178,193377
82,76815,112188,1140,738,2021-12-31,189003,1878,190881
83,70291,105221,1038,884,2021-12-31,175512,1922,177434
84,60358,93699,896,679,2021-12-31,154057,1575,155632
85,53353,83512,775,670,2021-12-31,136865,1445,138310
86,46204,74758,836,713,2021-12-31,120962,1549,122511
87,39547,63529,733,515,2021-12-31,103076,1248,104324
88,34003,56717,656,518,2021-12-31,90720,1174,91894
89,29254,48872,654,430,2021-12-31,78126,1084,79210
90,23050,39954,647,424,2021-12-31,63004,1071,64075
91,18684,32695,640,430,2021-12-31,51379,1070,52449
92,15350,26790,636,399,2021-12-31,42140,1035,43175
93,12579,21683,656,382,2021-12-31,34262,1038,35300
94,10331,17728,619,342,2021-12-31,28059,961,29020
95,7524,12800,435,335,2021-12-31,20324,770,21094
96,6002,9934,412,275,2021-12-31,15936,687,16623
97,4484,6776,400,243,2021-12-31,11260,643,11903
98,3893,5351,364,271,2021-12-31,9244,635,9879
99,3154,4208,366,224,2021-12-31,7362,590,7952
100,2817,3522,377,254,2021-12-31,6339,631,6970
101,10551,12162,2281,1160,2021-12-31,22713,3441,26154
0,261387,245901,6351,5827,2022-05-31,507288,12178,519466
1,279253,263572,6838,6310,2022-05-31,542825,13148,555973
2,299100,282981,8618,8096,2022-05-31,582081,16714,598795
3,319545,301718,12871,12186,2022-05-31,621263,25057,646320
4,334080,314380,23805,22467,2022-05-31,648460,46272,694732
5,340165,321265,21382,19892,2022-05-31,661430,41274,702704
6,352279,334972,25014,23466,2022-05-31,687251,48480,735731
7,366317,346464,24501,23142,2022-05-31,712781,47643,760424
8,376233,355410,23731,22542,2022-05-31,731643,46273,777916
9,407204,384288,19914,18546,2022-05-31,791492,38460,829952
10,411957,388704,11508,10752,2022-05-31,800661,22260,822921
11,387059,366964,8279,7883,2022-05-31,754023,16162,770185
12,396454,374724,5994,5562,2022-05-31,771178,11556,782734
13,401499,379317,4697,4323,2022-05-31,780816,9020,789836
14,404898,383279,3584,3394,2022-05-31,788177,6978,795155
15,411506,388786,3645,3420,2022-05-31,800292,7065,807357
16,408640,386934,3809,3566,2022-05-31,795574,7375,802949
17,415602,395637,4527,4370,2022-05-31,811239,8897,820136
18,408931,388758,5595,5413,2022-05-31,797689,11008,808697
19,402776,383398,5850,5520,2022-05-31,786174,11370,797544
20,404461,385917,6419,5980,2022-05-31,790378,12399,802777
21,418754,400742,6523,6284,2022-05-31,819496,12807,832303
22,430666,411260,6483,6163,2022-05-31,841926,12646,854572
23,432211,414459,6613,6178,2022-05-31,846670,12791,859461
24,485785,466970,6376,5923,2022-05-31,952755,12299,965054
25,501786,482522,6484,5871,2022-05-31,984308,12355,996663
26,494954,476547,5581,5335,2022-05-31,971501,10916,982417
27,488411,470049,5383,5271,2022-05-31,958460,10654,969114
28,478311,464153,5447,5355,2022-05-31,942464,10802,953266
29,480999,465869,5589,5498,2022-05-31,946868,11087,957955
30,489298,475722,5058,5139,2022-05-31,965020,10197,975217
31,480988,467805,5160,5292,2022-05-31,948793,10452,959245
32,464299,454318,4620,5004,2022-05-31,918617,9624,928241
33,456364,446848,4870,5306,2022-05-31,903212,10176,913388
34,433681,427741,4757,5050,2022-05-31,861422,9807,871229
35,449660,446262,5297,5791,2022-05-31,895922,11088,907010
36,467738,464662,4823,5483,2022-05-31,932400,10306,942706
